canonical_item_name,division,group,category,modifier_flag,beverage_flag
CHERRY JAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
CHIMNEY BERRY MIX,ITEMS,ITEMS,core_food,False,False
CHIMNEY BOSTON CHEESECAKE,ITEMS,ITEMS,core_food,False,False
CHIMNEY COMBO.,ITEMS,ITEMS,core_food,False,False
CHIMNEY PISTACHIO,ITEMS,ITEMS,core_food,False,False
CHIMNEY THE ONE,ITEMS,ITEMS,core_food,False,False
CHIMNEY THE ORIGINAL,ITEMS,ITEMS,core_food,False,False
CHIMNEY TRIPLE CHOCOLATE,ITEMS,ITEMS,core_food,False,False
CHOCOLATE CHIPS RINGS,ITEMS,ITEMS,core_food,False,False
CHOCOLATE SAUCE,Bev Add-ons,Bev Add-ons,core_food,False,False
CINNAMON SUGAR RINGS,ITEMS,ITEMS,core_food,False,False
CLASSIC CHIMNEY,ITEMS,ITEMS,core_food,False,False
CONUT BERRY MIX,ITEMS,ITEMS,core_food,False,False
CONUT BITES,ITEMS,ITEMS,core_food,False,False
CONUT BOSTON CHEESECAKE,ITEMS,ITEMS,core_food,False,False
CONUT COMBO,ITEMS,ITEMS,core_food,False,False
CONUT PISTACHIO,ITEMS,ITEMS,core_food,False,False
CONUT THE ONE,ITEMS,ITEMS,core_food,False,False
CONUT THE ORIGINAL,ITEMS,ITEMS,core_food,False,False
CONUT TRIPLE CHOCOLATE,ITEMS,ITEMS,core_food,False,False
CRISPY CREPE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"CRISPY CREPE ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
CRISPY CREPE . (R),FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"CRISPY CREPE,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
CRISPY CREPE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
CRUSHED LOTUS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"CRUSHED LOTUS , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
CRUSHED LOTUS .(R),FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"CRUSHED LOTUS,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
CRUSHED LOTUS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
CRUSHED OREO (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"CRUSHED OREO ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
CRUSHED OREO .(R),FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"CRUSHED OREO, (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
CRUSHED OREO.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
DARK CHOCOLATE CHIPS (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"DARK CHOCOLATE CHIPS ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
DARK CHOCOLATE CHIPS .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
"DARK CHOCOLATE CHIPS, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
DARK CHOCOLATE CHIPS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
DARK CHOCOLATE DIP (R),EXTRA DIP,EXTRA DIP,core_food,False,False
DARK CHOCOLATE DIP.(R),free dip,free dip,modifier,True,False
DARK CHOCOLATE SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"DARK CHOCOLATE SAUCE , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
DARK CHOCOLATE SAUCE .(R),FREE MINI TOP,FREE MINI TOP,modifier,True,False
"DARK CHOCOLATE SAUCE,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
DARK CHOCOLATE SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
DECAF,coffee type,coffee type,modifier,True,False
DELIVERY CHARGE,Delivery Service,Delivery,core_food,False,False
DONT SEND CUTLERY,Delivery Service,Delivery,modifier,True,False
DOUBLE CHOCOLATE MILKSHAKE,Shakes,Shakes,milkshake,False,True
DOUBLE ESPRESSO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
EARL GREY,Hot and Cold Drinks,TEA FLAVORS,other_beverage,False,True
ENGLAND HOLDER,Holder,Holders,modifier,True,False
ENGLISH BREAKFAST,Hot and Cold Drinks,TEA FLAVORS,other_beverage,False,True
ESPRESSO FRAPPE,Frappes,Frappes,coffee_cold,False,True
ESPRESSO MACCHIATO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
EXTRA DECAF ESPRESSO SHOT,Bev Add-ons,Bev Add-ons,core_food,False,False
EXTRA ESPRESSO SHOT,Bev Add-ons,Bev Add-ons,core_food,False,False
FLAT WHITE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
FRUIT LOOPS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"FRUIT LOOPS ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
FRUIT LOOPS . (R),FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
FRUIT LOOPS MILKSHAKE,Shakes,Shakes,milkshake,False,True
"FRUIT LOOPS,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
FRUIT LOOPS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
FULL FAT MILK,MILK OPTIONS,MILK OPTIONS,modifier,True,False
GRANOLA BERRIES (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
